run_id,method,model_name,dataset,task_type,rank,alpha,dropout,seed,epoch,step,eval_loss,accuracy,macro_f1,weighted_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,source,implementation,is_final_only,rank_label,method_rank
official_ft_seed98_1781762294,ft,vinai/phobert-base-v2,data/uit_vion/subset.csv,single_label,,,,98,4.0,5200,0.7374799251556396,0.81,0.809102471580093,0.8091024715800929,1.7754,1464.481,46.187,outputs\official_ft_seed98_1781762294\checkpoint-6500\trainer_state.json,official,False,full,ft / full
official_ft_seed98_1781762294,ft,vinai/phobert-base-v2,data/uit_vion/subset.csv,single_label,,,,98,5.0,6500,0.7640839219093323,0.8073076923076923,0.8072928436215416,0.8072928436215415,1.8009,1443.695,45.532,outputs\official_ft_seed98_1781762294\checkpoint-6500\trainer_state.json,official,False,full,ft / full
official_ft_seed99_1781764151,ft,vinai/phobert-base-v2,data/uit_vion/subset.csv,single_label,,,,99,1.0,1300,0.7628662586212158,0.7819230769230769,0.7812509246152228,0.7812509246152229,1.8707,1389.832,43.833,outputs\official_ft_seed99_1781764151\checkpoint-6500\trainer_state.json,official,False,full,ft / full
official_ft_seed99_1781764151,ft,vinai/phobert-base-v2,data/uit_vion/subset.csv,single_label,,,,99,2.0,2600,0.705735981464386,0.7957692307692308,0.7963808267753916,0.7963808267753915,1.9036,1365.857,43.077,outputs\official_ft_seed99_1781764151\checkpoint-6500\trainer_state.json,official,False,full,ft / full
official_ft_seed99_1781764151,ft,vinai/phobert-base-v2,data/uit_vion/subset.csv,single_label,,,,99,3.0,3900,0.7026737332344055,0.8096153846153846,0.8084979248100563,0.8084979248100564,1.9001,1368.327,43.155,outputs\official_ft_seed99_1781764151\checkpoint-6500\trainer_state.json,official,False,full,ft / full
official_ft_seed99_1781764151,ft,vinai/phobert-base-v2,data/uit_vion/subset.csv,single_label,,,,99,4.0,5200,0.7540104985237122,0.8046153846153846,0.8048887167289246,0.8048887167289247,1.9013,1367.463,43.128,outputs\official_ft_seed99_1781764151\checkpoint-6500\trainer_state.json,official,False,full,ft / full
official_ft_seed99_1781764151,ft,vinai/phobert-base-v2,data/uit_vion/subset.csv,single_label,,,,99,5.0,6500,0.7621713876724243,0.805,0.805365985882025,0.8053659858820251,1.9074,1363.084,42.99,outputs\official_ft_seed99_1781764151\checkpoint-6500\trainer_state.json,official,False,full,ft / full
lora_r16_seed97_1781724042,lora,vinai/phobert-base-v2,data/uit_vion/subset.csv,single_label,16.0,32.0,0.05,97,1.0,1300,0.7445935010910034,0.7696153846153846,0.7684037629335996,0.7684037629335995,2.1686,1198.934,37.813,notebook_cell_7_section_2,custom,False,16,lora / 16
lora_r16_seed97_1781724042,lora,vinai/phobert-base-v2,data/uit_vion/subset.csv,single_label,16.0,32.0,0.05,97,2.0,2600,0.7026580572128296,0.7911538461538462,0.7903255294158508,0.7903255294158507,2.0445,1271.692,40.107,notebook_cell_7_section_2,custom,False,16,lora / 16
lora_r16_seed97_1781724042,lora,vinai/phobert-base-v2,data/uit_vion/subset.csv,single_label,16.0,32.0,0.05,97,3.0,3900,0.6817384958267212,0.7973076923076923,0.79692619742526,0.7969261974252602,2.0665,1258.154,39.68,notebook_cell_7_section_2,custom,False,16,lora / 16
lora_r16_seed97_1781724042,lora,vinai/phobert-base-v2,data/uit_vion/subset.csv,single_label,16.0,32.0,0.05,97,4.0,5200,0.6654261350631714,0.7965384615384615,0.7958588029450576,0.7958588029450574,2.168,1199.28,37.823,notebook_cell_7_section_2,custom,False,16,lora / 16
lora_r16_seed97_1781724042,lora,vinai/phobert-base-v2,data/uit_vion/subset.csv,single_label,16.0,32.0,0.05,97,5.0,6500,0.6652481555938721,0.7996153846153846,0.7989805855715452,0.798980585571545,2.088,1245.211,39.272,notebook_cell_7_section_2,custom,False,16,lora / 16
lora_r16_seed98_1781725859,lora,vinai/phobert-base-v2,data/uit_vion/subset.csv,single_label,16.0,32.0,0.05,98,1.0,1300,0.7331252098083496,0.7892307692307692,0.787193805033642,0.787193805033642,1.972,1318.484,41.583,notebook_cell_7_section_7,custom,False,16,lora / 16
